다|多
단편|短篇
단편부간숙난지어|斷編腐簡熟爛之語
단편부간숙란지어|斷編腐簡熟爛之語
단편유간|斷編遺簡
단편장면멸|但篇章泯滅
단편장민멸|但篇章泯滅
단편장절멸|但篇章絶滅
단편패책|斷編敗冊
단평생소위|但平生所爲
단폐|壇陛
단폐어좌우이|但蔽於左右耳
단폐오좌우이|但蔽於左右耳
단폐이부행이|但廢而不行耳
단폐이불행이|但廢而不行耳
단포자농손|但抱子弄孫
단포자롱손|但抱子弄孫
단표|簞瓢
단표누공|簞瓢屢空
단표루공|簞瓢屢空
단표부개|簞瓢不改
단표불개|簞瓢不改
단품명이이|但稟命而已
단풍번아반수숙|丹楓翻鴉伴水宿
단피|襌被
단피독수|敦彼獨宿
단피야|襌被也
단피이문왕수명|但彼以文王受命
단피한성|溥彼韓城
단피항위|敦彼行葦
단필|段疋
단필선면|袒必先免
단필신|端韠紳
단필이지기이사지|但必以知饑而食之
단필이지기이식지|但必以知饑而食之
단필제|段匹磾
단필제견신요지|段匹磾遣信邀之
단필제살태위|段匹磾殺太尉
단필제살태위광무후류곤|段匹磾殺太尉廣武侯劉琨
단필제살태위광무후유곤|段匹磾殺太尉廣武侯劉琨
단필제상여|段匹磾相與
단필제설태위|段匹磾殺太尉
단필제설태위광무후류곤|段匹磾殺太尉廣武侯劉琨
단필제설태위광무후유곤|段匹磾殺太尉廣武侯劉琨
단필제쇄태위|段匹磾殺太尉
단필제쇄태위광무후류곤|段匹磾殺太尉廣武侯劉琨
단필제쇄태위광무후유곤|段匹磾殺太尉廣武侯劉琨
단필제시태위|段匹磾殺太尉
단필제시태위광무후류곤|段匹磾殺太尉廣武侯劉琨
단필제시태위광무후유곤|段匹磾殺太尉廣武侯劉琨
단필제이서요속|段匹磾以書邀續
단필제지분질륙권상야|段匹磾之奔疾陸眷喪也
단필제지분질육권상야|段匹磾之奔疾陸眷喪也
단필제토석늑|段匹磾討石勒
단필제토석륵|段匹磾討石勒
단필중|旦畢中
단하|端下
단하관차성례|但下觀此盛禮
단하관차성예|但下觀此盛禮
단하구언|但下句言
단하내|斷河內
단하당유말자|端下當有末字
단하문제작개용동봉주|但下文祭酢皆用同奉酒
단하문제초개용동봉주|但下文祭酢皆用同奉酒
단하유지어재삼|但下有至於再三
단하유지오재삼|但下有至於再三
단하적출새이이|但賀賊出塞而已
단하정|丹霞亭
단한다류오|但恨多謬誤
단한다유오|但恨多謬誤
단한무가언|但恨無嘉言
단한무가언가이리민이|但恨無嘉言可以利民耳
단한무가언가이리저이|但恨無嘉言可以利民耳
단한무가언가이리지이|但恨無嘉言可以利民耳
단한무가언가이이민이|但恨無嘉言可以利民耳
단한무가언가이이저이|但恨無嘉言可以利民耳
단한무가언가이이지이|但恨無嘉言可以利民耳
단한무과왕우군|但恨無過王右軍
단한미지미전|但恨微志未展
단한이일부조식룡안|但恨爾日不早識龍顔
단한이일부조식용안|但恨爾日不早識龍顔
단한이일부조지룡안|但恨爾日不早識龍顔
단한이일부조지용안|但恨爾日不早識龍顔
단한이일부조치룡안|但恨爾日不早識龍顔
단한이일부조치용안|但恨爾日不早識龍顔
단한이일불조식룡안|但恨爾日不早識龍顔
단한이일불조식용안|但恨爾日不早識龍顔
단한이일불조지룡안|但恨爾日不早識龍顔
단한이일불조지용안|但恨爾日不早識龍顔
단한이일불조치룡안|但恨爾日不早識龍顔
단한이일불조치용안|但恨爾日不早識龍顔
단할|斷割
단할|袒割
단함임무소가부|但歛衽無所可否
단항기위이부용야|但抗其威而不用也
단항기위이불용야|但抗其威而不用也
단항준|段恒俊
단해종이위호유|但解宗彝爲虎蜼
단행|斷行
단행|旦行
단행본|單行本
단행분|單行本
단행상계이진|單行相繼而進
단행시성도|斷行是誠道
단행지부이|但行之不已
단행지불이|但行之不已
단행차사자|但行此四者
단행효어내|但行孝於內
단행효오내|但行孝於內
단향|檀鄕
단향적|檀鄕賊
단허병사천|但許兵四千
단헌공이사심해기애자지심|斷獻公以私心害其愛子之心
단현|單縣
단현기구안이양난|但見其苟安以養亂
단현기구안이양란|但見其苟安以養亂
단현기년고|但見其年高
단현기연고|但見其年高
단현기재|但見其在
단현기형|但見己形
단현낙엽편산이도사부견이|但見落葉遍山而道士不見爾
단현낙엽편산이도사부현이|但見落葉遍山而道士不見爾
단현낙엽편산이도사불견이|但見落葉遍山而道士不見爾
단현낙엽편산이도사불현이|但見落葉遍山而道士不見爾
단현녹엽서잔홍|但見綠葉棲殘紅
단현단하취벽원근영누각|但見丹霞翠壁遠近映樓閣
단현단하취벽원근영루각|但見丹霞翠壁遠近映樓閣
단현락엽편산이도사부견이|但見落葉遍山而道士不見爾
단현락엽편산이도사부현이|但見落葉遍山而道士不見爾
단현락엽편산이도사불견이|但見落葉遍山而道士不見爾
단현락엽편산이도사불현이|但見落葉遍山而道士不見爾
단현량애창창암|但見兩崖蒼蒼暗
단현록엽서잔홍|但見綠葉棲殘紅
단현리삭지습|但見利欲之習
단현리속지습|但見利欲之習
단현리숙지습|但見利欲之習
단현리욕지습|但見利欲之習
단현리유지습|但見利欲之習
단현만증|但懸曼矰
단현망국지어이|但見亡國之語耳
단현비조호고모|但見悲鳥號古木
단현비조호고목|但見悲鳥號古木
단현성공|但見成功
단현소종해상내|但見宵從海上來
단현소종해상래|但見宵從海上來
단현수운결우원성애|但見愁雲結雨猿聲哀
단현신인소|但見新人笑
단현양애창창암|但見兩崖蒼蒼暗
단현유이가희|但見柔而可喜
단현이삭지습|但見利欲之習
단현이속지습|但見利欲之習
단현이숙지습|但見利欲之習
단현이욕지습|但見利欲之習
단현이유지습|但見利欲之習
단현조두노기여산내|但見潮頭怒氣如山來
단현조두노기여산래|但見潮頭怒氣如山來
단현조두노희여산내|但見潮頭怒氣如山來
단현조두노희여산래|但見潮頭怒氣如山來
단현지이부작야|但縣之而不作也
단현지이불작야|但縣之而不作也
단현천자비|但見賤者悲
단혐부차이|但謙不斥耳
단혐부척이|但謙不斥耳
단혐불차이|但謙不斥耳
단혐불척이|但謙不斥耳
단협석지군이|斷夾石之軍耳
단형문서|斷刑文書
단형상금미문|但形狀今未聞
단형세기쇠|但形勢旣衰
단형장금미문|但形狀今未聞
단혜|褖兮
단혜의혜|褖兮衣兮
단혜의혜자|褖兮衣兮者
단호|短狐
단호륙구이이|但呼陸九而已
단호상발견|但互相發見
단호상발현|但互相發見
단호야|短狐也
단호육구이이|但呼陸九而已
단호인|敦乎仁
단혼례주어교접|但昏禮主於交接
단혼례주어교첩|但昏禮主於交接
단혼례주오교접|但昏禮主於交接
단혼례주오교첩|但昏禮主於交接
단혼예주어교접|但昏禮主於交接
단혼예주어교첩|但昏禮主於交接
단혼예주오교접|但昏禮主於交接
단혼예주오교첩|但昏禮主於交接
단화|端和
단화문이종지이부가부자야|但畫聞以從之而不可否者也
단화문이종지이불가부자야|但畫聞以從之而不可否者也
단화비독의|但貨非獨衣
단화순상의이무상수|但和順上意而無常守
단화지|檀和之
단화지등발구속|檀和之等拔區粟
단화지일국|但化止一國
단확|丹雘
단환궁지영|丹桓宮之楹
단환마구야|但患馬臞也
단환민부안녕|但患民不安寧
단환민부안영|但患民不安寧
단환민불안녕|但患民不安寧
단환민불안영|但患民不安寧
단환부능탈속표음이|但患不能脱粟瓢飲耳
단환불능탈속표음이|但患不能脱粟瓢飲耳
단환사해영웅막지종이|但患四海英雄莫之從耳
단환사해영웅맥지종이|但患四海英雄莫之從耳
단환사해영웅모지종이|但患四海英雄莫之從耳
단환애양부지이|但患愛養不至耳
단환애양불지이|但患愛養不至耳
단환장무공지죄|斷桓莊武公之罪
단환저부안녕|但患民不安寧
단환저부안영|但患民不安寧
단환저불안녕|但患民不安寧
단환저불안영|但患民不安寧
단환점근|但患漸近
단환지부안녕|但患民不安寧
단환지부안영|但患民不安寧
단환지불안녕|但患民不安寧
단환지불안영|但患民不安寧
단회|段徊
단회남신서|但淮南新序
단획문이종지이부가부자야|但畫聞以從之而不可否者也
단획문이종지이불가부자야|但畫聞以從之而不可否者也
단효유변화|但爻有變化
단후|單后
단후|斷後
단후년소미색|單后年少美色
단후다장|亶侯多藏
단후연소미색|單后年少美色
단후자서여정부지도이행지|但厚次序汝正父之道而行之
단후지자야|單后之子也
단후지작자|但後之作者
단후차서여정부지도이행지|但厚次序汝正父之道而行之
단후참에이사|單后慙恚而死
단훈|段訓
단훼|斷毁
단휴장솔지심|但攜將帥之心
단휴장수지심|但攜將帥之心
단흠|但欽
단희|丹姬
단희|段禧
단희야|短氣也
단힐문지지형상|但詰問治之形狀
단힐문지지형장|但詰問治之形狀
단힐문치지형상|但詰問治之形狀
단힐문치지형장|但詰問治之形狀
달가|達可
달가항어천하이후|達可行於天下而後
달가행어천하이후|達可行於天下而後
달공함|達空函
달관|達官
달관|達觀
달기|妲己
달기내소|妲己乃笑
달기리|達其理
달기변|達其變
달기소|妲己所
달기소증자주지|妲己所憎者誅之
달기왈|妲己曰
달기유총이망은|妲己有寵而亡殷
달기이|達其理
달기이위벌경|妲己以爲罰輕
달기정위|逹其情僞
달기해정|妲己害政
달기호지|妲己好之
달기혹주|妲己惑紂
달나|撻懶
달단부매|達旦不寐
달단불매|達旦不寐
달대가|達大家
달덕|達德
달도|達道
달도자|達道者
달두가간|達頭可汗
달두가한|達頭可汗
달라|撻懶
달마야사|達摩耶舍
달명성공|達名成功
달벌지사|撻罰之事
달변|達辯
달부리도|達不離道
달부리도고|達不離道故
달부이도|達不離道
달부이도고|達不離道故
달불리도|達不離道
달불리도고|達不離道故
달불이도|達不離道
달불이도고|達不離道故
달사|達士
달사리|達事理
달사변|達事變
달사생존망지설|達死生存亡之說
달사생존망지세|達死生存亡之說
달사생존망지열|達死生存亡之說
달사생존망지탈|達死生存亡之說
달사소제|達士所齊
달사이|達事理
달사총|達四聰
달상|達喪
달생위명|達生委命
달생편|逹生篇
달서감차가|達曙酣且歌
달선지실이부삭식자야|達善之實而不欲飾者也
달선지실이부속식자야|達善之實而不欲飾者也
달선지실이부숙식자야|達善之實而不欲飾者也
달선지실이부욕식자야|達善之實而不欲飾者也
달선지실이부유식자야|達善之實而不欲飾者也
달선지실이불삭식자야|達善之實而不欲飾者也
달선지실이불속식자야|達善之實而不欲飾者也
달선지실이불숙식자야|達善之實而不欲飾者也
달선지실이불욕식자야|達善之實而不欲飾者也
달선지실이불유식자야|達善之實而不欲飾者也
달성낙지본|達聲樂之本
달성낙지분|達聲樂之本
달성락지본|達聲樂之本
달성락지분|達聲樂之本
달성악지본|達聲樂之本
달성악지분|達聲樂之本
달성요지본|達聲樂之本
달성요지분|達聲樂之本
달시기소거|達視其所擧
달시기소여|達視其所擧
달알노공|達扎路恭
달알로공|達扎路恭
달애경지문|達愛敬之文
달야|獺也
달야|達也
달야자|達也者
달어|達於
달어례자야|達於禮者也
달어면목|達於面目
달어사변|達於事變
달어사변이뇌기구속자야|達於事變而懷其舊俗者也
달어사변이뢰기구속자야|達於事變而懷其舊俗者也
달어삭|達於數
달어상제향사관|達於喪祭鄉射冠
달어상제향사관혼조빙|達於喪祭鄉射冠婚朝聘
달어상제향야관|達於喪祭鄉射冠
달어상제향야관혼조빙|達於喪祭鄉射冠婚朝聘
달어상하|達於上下
달어서혁|達於犀革
달어수|達於數
달어예자야|達於禮者也
달어원방|達於遠方
달어원방야|達於遠方也
달어자의이이의|達於玆義而已矣
달어천자|達於天子
달어촉|達於數
달역수|達易水
달오|達於
달오례자야|達於禮者也
달오사변|達於事變
달오사변이뇌기구속자야|達於事變而懷其舊俗者也
달오사변이뢰기구속자야|達於事變而懷其舊俗者也
달오삭|達於數
달오상제향사관|達於喪祭鄉射冠
달오상제향사관혼조빙|達於喪祭鄉射冠婚朝聘
달오상제향야관|達於喪祭鄉射冠
달오상제향야관혼조빙|達於喪祭鄉射冠婚朝聘
달오상하|達於上下
달오서혁|達於犀革
달오수|達於數
달오예자야|達於禮者也
달오원방|達於遠方
달오원방야|達於遠方也
달오자의이이의|達於玆義而已矣
달오천자|達於天子
달오촉|達於數
달왕|達王
달욕지|撻辱之
달우|達于
달우강회|逹于江淮
달우민|達于民
달우변군|達于邊軍
달우상천|達于上天
달우상하|達于上下
달우신명|達于神明
달우용색|達于容色
달우저|達于民
달우제|達于濟
달우지|達于民
달우하|達于河
달우회|達于淮
달우회사|達于淮泗
달위자천자지어서인|達謂自天子至於庶人
달위자천자지오서인|達謂自天子至於庶人
달이|妲已
달이기지|撻以記之
달이미|達而尾
달이미조|達而尾趙
달이부망거|達而不妄擧
달이부망여|達而不妄擧
달이불망거|達而不妄擧
달이불망여|達而不妄擧
달이수|達易水
달이애례|達而愛禮
달이애예|達而愛禮
달이이의|達而已矣
달인|逹人
달인지명|達人知命
달자|達者
달자동야|達者同也
달자지지야|達子之志也
달절|達節
달제|獺祭
달제어|獺祭魚
달제어연후|獺祭魚然後
달제어연후우인입역량|獺祭魚然後虞人入澤梁
달제어연후우인입역양|獺祭魚然後虞人入澤梁
달제어연후우인입탁량|獺祭魚然後虞人入澤梁
달제어연후우인입탁양|獺祭魚然後虞人入澤梁
달제어연후우인입택량|獺祭魚然後虞人入澤梁
달제어연후우인입택양|獺祭魚然後虞人入澤梁
달존|達尊
달준|達尊
달즉겸선천하|達則兼善天下
달즉필유공|達則必有功
달지|達之
달지부급|達之不及
달지불급|達之不及
달지어기소위|達之於其所爲
달지어기소인|達之於其所忍
달지어천하|達之於天下
달지오기소위|達之於其所爲
달지오기소인|達之於其所忍
달지오천하|達之於天下
달지외자|闥之外者
달지천하야|達之天下也
달진소|撻秦楚
달진소조진소|撻秦楚朝秦楚
달진소조진초|撻秦楚朝秦楚
달진초|撻秦楚
달진초조진소|撻秦楚朝秦楚
달진초조진초|撻秦楚朝秦楚
달차|達此
달찰노공|達扎路恭
달찰로공|達扎路恭
달천덕자|達天德者
달측겸선천하|達則兼善天下
달칙겸선천하|達則兼善天下
달칙필유공|達則必有功
달태가|達大家
달통|達通
달편|達辯
달평|達辯
달피|撻彼
달피안무|撻彼殷武
달피은무|撻彼殷武
달합|達合
달합절|達合切
달항당인|達巷黨人
달해|達奚
달해순|達奚珣
달해순등삭백인|達奚珣等數百人
달해순등수백인|達奚珣等數百人
달해순등촉백인|達奚珣等數百人
달해씨|達奚氏
달해씨위해씨|達奚氏爲奚氏
달해씨위해정|達奚氏爲奚氏
달해씨위해지|達奚氏爲奚氏
달해정|達奚氏
달해정위해씨|達奚氏爲奚氏
달해정위해정|達奚氏爲奚氏
달해정위해지|達奚氏爲奚氏
달해지|達奚氏
달해지위해씨|達奚氏爲奚氏
달해지위해정|達奚氏爲奚氏
달해지위해지|達奚氏爲奚氏
달호대부|達乎大夫
달호수수|達乎蒐狩
달호저후대부|達乎諸侯大夫
달호제후대부|達乎諸侯大夫
달호천자|達乎天子
달화|韃靴
달효|達孝
담가본|沈家本
담가분|沈家本
담감|沈酣
담감기신|沈酣其身
담개복|沈介福
담거성|談去聲
담거지유견|湛拒之愈堅
담거청주|譚據靑州
담건배악|濫巾北岳
담건북악|濫巾北岳
담경|談經
담경|沈勁
담경|沈景
담경숙|譚景玉
담경옥|譚景玉
담경자야|湛競者也
담경지|沈慶之
담경지건의|沈慶之建議
담경지고간|沈慶之固諫
담경지렬전|沈慶之列傳
담경지밀위복심왈|沈慶之密謂腹心曰
담경지복계청민사주전|沈慶之復啓聽民私鑄錢
담경지복계청저사주전|沈慶之復啓聽民私鑄錢
담경지복계청지사주전|沈慶之復啓聽民私鑄錢
담경지솔중|沈慶之帥衆
담경지수중|沈慶之帥衆
담경지심련군사|沈慶之甚練軍事
담경지심연군사|沈慶之甚練軍事
담경지열전|沈慶之列傳
담경지위인왈|沈慶之謂人曰
담경지이위력성병소사다|沈慶之以爲歷城兵少食多
담경지이위력성병소식다|沈慶之以爲歷城兵少食多
담경지이위역성병소사다|沈慶之以爲歷城兵少食多
담경지이위역성병소식다|沈慶之以爲歷城兵少食多
담경지자동지춘|沈慶之自冬至春
담경지자파수내|沈慶之自巴水來
담경지자파수래|沈慶之自巴水來
담경지전|沈慶之傳
담경지제강토상|沈慶之濟江討爽
담경지지력야|沈慶之之力也
담경지지역야|沈慶之之力也
담경지총중군이종|沈慶之摠中軍以從
담경지포탄곡어시왈|沈慶之抱坦哭於市曰
담경지포탄곡오시왈|沈慶之抱坦哭於市曰
담계|聃啓
담고사|湛固辭
담고여이부호|鴆告余以不好
담고여이불호|鴆告余以不好
담고임석|沈蠱衽席
담공|沈公
담공공어석부|談空空於釋部
담공공오석부|談空空於釋部
담공내갱학문|沈公乃更學問
담공내경학문|沈公乃更學問
담공부교하공|沈公不效何公
담공부효하공|沈公不效何公
담공불교하공|沈公不效何公
담공불효하공|沈公不效何公
담공유사|譚公維私
담괄|沈括
담괄왈|沈括曰
담굉|沈宏
담국|譚國
담국|沈國
담권립삭|湛勸立鑠
담권입삭|湛勸立鑠
담권호응명|沈勸祜應命
담금남녕군|儋今南寧軍
담금남영군|儋今南寧軍
담급|覃及
담급|啗及
담급귀방|覃及鬼方
담급야|覃及也
담기고이존귀지|濫其高而尊貴之
담기고이준귀지|濫其高而尊貴之
담기부자어강|沈其父子於江
담기부자오강|沈其父子於江
담기아급기제자수|擔其兒及其弟子綏
담기유죄|湛旣有罪
담기익장|膽氣益壯
담기제|沈旣濟
담난우주|沈亂于酒
담남녀삼만여인어하|沈男女三萬餘人於河
담남녀삼만여인오하|沈男女三萬餘人於河
담남여삼만여인어하|沈男女三萬餘人於河
담남여삼만여인오하|沈男女三萬餘人於河
담내지|沈乃止
담노|湛盧
담노|湛露
담노편|湛露篇
담논|談論
담논매출기표|談論每出其表
담논요시|談論踰時
담논유시|談論踰時
담논종일|談論終日
담뇌|覃懷
담뇌명|沈懷明
담뇌문|沈懷文
담뇌저적|覃懷底績
담뇨|沈溺
담뇨상계|沈溺相係
담뇨치우질사|沈溺致愚疾邪
담닉|沈溺
담닉상계|沈溺相係
담닉치우질사|沈溺致愚疾邪
담담|啖啖
담담|沈澹
담담로사|湛湛露斯
담담부중거|潭潭府中居
담담연|啖啖然
담담연상삭인지유|啖啖然常欲人之有
담담연상속인지유|啖啖然常欲人之有
담담연상숙인지유|啖啖然常欲人之有
담담연상욕인지유|啖啖然常欲人之有
담담연상유인지유|啖啖然常欲人之有
담담연평안지의|澹澹然平安之意
담담하응유연자|啖啖下應有然字
담당|擔當
담대|澹臺
담대|膽大
담대멸명|澹臺滅明
담대자우|澹臺子羽
담대자우유군자지용|澹臺子羽有君子之容
담대즉감어유위|膽大則敢於有爲
담대즉감오유위|膽大則敢於有爲
담대지행|澹臺之行
담대칙감어유위|膽大則敢於有爲
담대칙감오유위|膽大則敢於有爲
담독|鴆毒
담독약삼년도복지도|裧讀若三年導服之導
담독약삼연도복지도|裧讀若三年導服之導
담동|沈沖
담두약삼년도복지도|裧讀若三年導服之導
담두약삼연도복지도|裧讀若三年導服之導
담득기기지명|濫得騏驥之名
담득봉간지명|濫得逢干之名
담등|沈等
담등세력|沈等勢力
담등세역|沈等勢力
담란우주|沈亂于酒
담략|膽略
담략겸인|膽略兼人
담량|沈亮
담력|膽力
담령|沈嶺
담령사|沈靈賜
담령윤|沈令尹
담령지배|沈嶺之北
담령지북|沈嶺之北
담로|湛盧
담로|湛露
담로편|湛露篇
담론|談論
담론매출기표|談論每出其表
담론요시|談論踰時
담론유시|談論踰時
담론종일|談論終日
담뢰|覃懷
담뢰명|沈懷明
담뢰문|沈懷文
담뢰저적|覃懷底績
담림자|沈林子
담립|談立
담립이자|談立二字
담면|沈湎
담면기주|沈湎嗜酒
담면모색|沈湎冒色
담면모색도|沈湎冒色圖
담면어주|沈湎於酒
담면열|沈湎淫
담면염|沈湎淫
담면오주|沈湎於酒
담면요|沈湎淫
담면우주이유부의|沈湎于酒而惟不義
담면우주이유불의|沈湎于酒而惟不義
담면윤|沈湎淫
담면음|沈湎淫
담면지계|沈湎之戒
담명지경|沈明之磬
담모손씨위담왈|潭母孫氏謂潭曰
담모손정위담왈|潭母孫氏謂潭曰
담모손지위담왈|潭母孫氏謂潭曰
담모음견인살지|湛謀陰遣人殺之
담모음견인설지|湛謀陰遣人殺之
담모음견인쇄지|湛謀陰遣人殺之
담모음견인시지|湛謀陰遣人殺之
담몰|沈沒
담몰겁약|沈沒怯弱
담무참|曇無讖
담무참자운|曇無讖自云
담묵기체|沈黙其體
담문계|沈文季
담문병|沈文炳
담문수|沈文秀
담문수수동양|沈文秀守東陽
담문하|沈文何
담미어지주후미|沈迷於旨酒厚味
담미오지주후미|沈迷於旨酒厚味
담민유도량|沈敏有度量
담민유도양|沈敏有度量
담밀과언|沈密寡言
담박|淡泊
담박|淡薄
담박|澹泊
담박|沈璞
담박왈|沈璞曰
담백|淡泊
담백|澹泊
담벌선인|濫罰善人
담벌열형|濫罰淫刑
담벌염형|濫罰淫刑
담벌요형|濫罰淫刑
담벌윤형|濫罰淫刑
담벌음형|濫罰淫刑
담범|沈範
담범등봉사재위|沈範等奉使在魏
담법계|沈法系
담벽|沈璧
담병|沈兵
담병내지|沈兵來遲
담병래지|沈兵來遲
담복|禫服
담본|沈本
담부어물|擔負於物
담부오물|擔負於物
담부의야|湛不疑也
담분|沈本
담불의야|湛不疑也
담비상지몽즉패|談非常之夢則敗
담비상지몽칙패|談非常之夢則敗
담비성무법|譚非聖無法
담사|啖食
담사십년|覃思十年
담사십연|覃思十年
담사욕황|沈姒蓐黃
담사자반|濫死者半
담사형|沈士衡
담삭대이심삭소|膽欲大而心欲小
담삭대이심속소|膽欲大而心欲小
담삭대이심숙소|膽欲大而心欲小
담삭대이심욕소|膽欲大而心欲小
담삭대이심유소|膽欲大而心欲小
담살|鴆殺
담살무고|濫殺無辜
담상|濫觴
담상구속|潭湘舊俗
담상규|沈象奎
담상몽즉합|談常夢則合
담상몽칙합|談常夢則合
담상어|濫觴於
담상어배조지분지|濫觴於北朝之分治
담상어배조지분치|濫觴於北朝之分治
담상어북조지분지|濫觴於北朝之分治
담상어북조지분치|濫觴於北朝之分治
담상어탄|濫觴於漢
담상어한|濫觴於漢
담상오|濫觴於
담상오배조지분지|濫觴於北朝之分治
담상오배조지분치|濫觴於北朝之分治
담상오북조지분지|濫觴於北朝之分治
담상오북조지분치|濫觴於北朝之分治
담상오탄|濫觴於漢
담상오한|濫觴於漢
담상위기상좌|湛嘗爲其上佐
담석|擔石
담선논지도|湛善論治道
담선논치도|湛善論治道
담선론지도|湛善論治道
담선론치도|湛善論治道
담설|談說
담설|鴆殺
담설무고|濫殺無辜
담설어제소군중|談說於齊楚軍中
담설어제초군중|談說於齊楚軍中
담설오제소군중|談說於齊楚軍中
담설오제초군중|談說於齊楚軍中
담섬|沈澹
담섬연평안지의|澹澹然平安之意
담성|郯城
담성공렴|湛性公廉
담성공염|湛性公廉
담성현|郯城縣
담세|談說
담세어제소군중|談說於齊楚軍中
담세어제초군중|談說於齊楚軍中
담세오제소군중|談說於齊楚軍中
담세오제초군중|談說於齊楚軍中
담소|談笑
담소|沈韶
담소|沈卲
담소대|談笑大
담소수숙예|沈韶守宿豫
담소이휘지|談笑而麾之
담소자반호|湛小字班虎
담소자약|談笑自若
담소장다서|聃所掌多書
담속대이심삭소|膽欲大而心欲小
담속대이심속소|膽欲大而心欲小
담속대이심숙소|膽欲大而心欲小
담속대이심욕소|膽欲大而心欲小
담속대이심유소|膽欲大而心欲小
담속리야|湛屬吏也
담속이야|湛屬吏也
담솔|沈率
담솔취의|沈率醉矣
담쇄|鴆殺
담쇄무고|濫殺無辜
담수|沈水
담수고사왈|曇首固辭曰
담수권홍감부중문무지반|曇首勸弘減府中文武之半
담수우동배류|沈水又東北流
담수우동배유|沈水又東北流
담수우동북류|沈水又東北流
담수우동북유|沈水又東北流
담수유여|膽守有餘
담수지자야|曇首之子也
담수행|沈遂行
담숙대이심삭소|膽欲大而心欲小
담숙대이심속소|膽欲大而心欲小
담숙대이심숙소|膽欲大而心欲小
담숙대이심욕소|膽欲大而心欲小
담숙대이심유소|膽欲大而心欲小
담시|鴆殺
담시무고|濫殺無辜
담식|啖食
담신무|沈申巫
담심|沈審
담심|沈深
담심유국도|沈深有局度
담심유도량|沈深有度量
담심유도양|沈深有度量
담심이유약의|沈深而柔弱矣
담씨|沈氏
담아|啗我
담아인후|沈雅仁厚
담아작사아|啗我作食我
담아작식아|啗我作食我
담악|濫惡
담악야|濫惡也
담암|澹庵
담암집|澹庵集
담야|擔也
담야|淡也
담야|濫也
담야|沈也
담야|嘾也
담약|膽略
담약|沈約
담약겸인|膽略兼人
담약렬전|沈約列傳
담약송지|沈約宋志
담약열전|沈約列傳
담약왈|沈約曰
담약지|沈約志
담약지왈|沈約志曰
담양|沈亮
담양|沈陽
담양공|郯襄公
담양공장공근|郯襄公張公謹
담어문려이부고기공자|濫於文麗而不顧其功者
담어문려이불고기공자|濫於文麗而不顧其功者
담어문여이부고기공자|濫於文麗而不顧其功者
담어문여이불고기공자|濫於文麗而不顧其功者
담어출면|憾於黜免
담업분주고소|沈業奔走告昭
담여담|啗與覃
담여수|淡如水
담여야|澹如也
담여염|啗與覃
담여점지지점동|湛與漸漬之漸同
담역|膽力
담역작침|沈或作寢
담역직|沈易直
담연|沈淵
담연|倓然
담연견관중지능족이탁국야|倓然見管仲之能足以託國也
담연견관중지능주이탁국야|倓然見管仲之能足以託國也
담연무소호|淡然無所好
담연무위|澹然無爲
담연자수|澹然自守
담연지|沈演之
담연한정|澹然閒靜
담연허명|湛然虛明
담연현관중지능족이탁국야|倓然見管仲之能足以託國也
담연현관중지능주이탁국야|倓然見管仲之能足以託國也
담열|談說
담열어제소군중|談說於齊楚軍中
담열어제초군중|談說於齊楚軍中
담열오제소군중|談說於齊楚軍中
담열오제초군중|談說於齊楚軍中
담영|沈嶺
담영|沈瑩
담영림해수토지왈|沈瑩臨海水土志曰
담영사|沈靈賜
담영윤|沈令尹
담영임해수토지왈|沈瑩臨海水土志曰
담영지배|沈嶺之北
담영지북|沈嶺之北
담오문려이부고기공자|濫於文麗而不顧其功者
담오문려이불고기공자|濫於文麗而不顧其功者
담오문여이부고기공자|濫於文麗而不顧其功者
담오문여이불고기공자|濫於文麗而不顧其功者
담오출면|憾於黜免
담왈|湛曰
담왈|譚曰
담왈|沈曰
담왈|惔曰
담왈|紞曰
담왈빈|沈曰蘋
담왈빈부왈조|沈曰蘋浮曰藻
담왕|覃王
담왕솔호가군오십사|覃王率扈駕軍五十四
담왕지삼고|覃王至三橋
담왕지삼교|覃王至三橋
담요|曇曜
담요|沈溺
담요|沈腰
담요상계|沈溺相係
담요치우질사|沈溺致愚疾邪
담욕대이심삭소|膽欲大而心欲小
담욕대이심속소|膽欲大而心欲小
담욕대이심숙소|膽欲大而心欲小
담욕대이심욕소|膽欲大而心欲小
담욕대이심유소|膽欲大而心欲小
담용|濫用
담용여이독의혜|澹容與而獨倚兮
담우전|沈瑀傳
담우주후|沈于酒酗
담원|潭園
담원|沈寃
담원염|沈元琰
담위|沈謂
담위담함지어죄악|沈謂沈陷之於罪惡
담위담함지오죄악|沈謂沈陷之於罪惡
담위범남|濫謂汎濫
담위범남|濫謂泛濫
담위범담|濫謂汎濫
담위범담|濫謂泛濫
담위범람|濫謂汎濫
담위범람|濫謂泛濫
담위범함|濫謂汎濫
담위범함|濫謂泛濫
담위봉남|濫謂泛濫
담위봉담|濫謂泛濫
담위봉람|濫謂泛濫
담위봉함|濫謂泛濫
담위사흉노중낭장|譚爲使匈奴中郞將
담위사흉노중랑장|譚爲使匈奴中郞將
담위심함지어죄악|沈謂沈陷之於罪惡
담위심함지오죄악|沈謂沈陷之於罪惡
담위주장사|聃爲周藏史
담위짐함지어죄악|沈謂沈陷之於罪惡
담위짐함지오죄악|沈謂沈陷之於罪惡
