다|多
다뢰토부능거|多懷土不能去
다뢰토불능거|多懷土不能去
다류병수요|多留兵守要
다류병즉부족용|多留兵則不足用
다류병즉부주용|多留兵則不足用
다류병즉불족용|多留兵則不足用
다류병즉불주용|多留兵則不足用
다류병칙부족용|多留兵則不足用
다류병칙부주용|多留兵則不足用
다류병칙불족용|多留兵則不足用
다류병칙불주용|多留兵則不足用
다류편자|多謬編次
다류편차|多謬編次
다륜몰이원회린|多淪没而遠悔吝
다륜몰이원회인|多淪没而遠悔吝
다립친당|多立親黨
다마이우편치돌|多馬而尤便馳突
다만부공|多慢不恭
다만불공|多慢不恭
다만즉생난|多慢則生亂
다만즉생란|多慢則生亂
다만칙생난|多慢則生亂
다만칙생란|多慢則生亂
다망|多亡
다망인전고이난당세|多妄引前古以亂當世
다망인전고이란당세|多妄引前古以亂當世
다명부상현부사능지도|多明不尙賢不使能之道
다명부상현불사능지도|多明不尙賢不使能之道
다명불상현부사능지도|多明不尙賢不使能之道
다명불상현불사능지도|多明不尙賢不使能之道
다명자위임|多名子爲任
다명중신|多命中臣
다모|多侮
다모교지|多慕效之
다모소결|多謀少決
다모왕등|多慕王澄
다모왕징|多慕王澄
다모효지|多慕效之
다몰어돌궐|多沒於突厥
다몰오돌궐|多沒於突厥
다몽관유|多蒙寬宥
다무사실|多無事實
다무어소난이홀어소역|多務於所難而忽於所易
다무어소난이홀어소이|多務於所難而忽於所易
다무어소난이홀오소역|多務於所難而忽於所易
다무어소난이홀오소이|多務於所難而忽於所易
다무오소난이홀어소역|多務於所難而忽於所易
다무오소난이홀어소이|多務於所難而忽於所易
다무오소난이홀오소역|多務於所難而忽於所易
다무오소난이홀오소이|多務於所難而忽於所易
다무익지충어|多無益之蟲魚
다무청행|多無淸行
다문|多聞
다문|多門
다문궐의|多聞闕疑
다문식호|多聞識乎
다문이위부|多文以爲富
다문이위부야|多文以爲富也
다문지호|多聞識乎
다미|多彌
다미신|多未信
다반|多叛
다반|多畔
다반후조귀전|多叛後趙歸晉
다반후조귀진|多叛後趙歸晉
다발병|多發兵
다발사자|多發使者
다방|多方
다방|多邦
다방략|多方略
다방약|多方略
다방어|多訪於
다방오|多訪於
다방운|多方云
다방이구실자|多方以救失者
다방이오지|多方以誤之
다방이오지|多方以悞之
다방지편|多方之篇
다방편|多方篇
다배능견|多配綾絹
다배릉견|多配綾絹
다법류병거|多法類竝擧
다법류병여|多法類竝擧
다법유병거|多法類竝擧
다법유병여|多法類竝擧
다벽|多辟
다벽명사|多辟名士
다변사|多變詐
다병|多兵
다병|多病
다병견어소우이운|多竝見於蕭尤二韻
다병견오소우이운|多竝見於蕭尤二韻
다병현어소우이운|多竝見於蕭尤二韻
다병현오소우이운|多竝見於蕭尤二韻
다보배문학사|多補北門學士
다보북문학사|多補北門學士
다보졸|多步卒
다복|多福
다본|多本
다봉작인|多封爵人
다부감쟁|多不敢爭
다부과오|多不過五
다부과지|多不過之
다부긍위이유무익자|多不肯爲而惟無益者
다부기재위지년|多不記在位之年
다부기재위지연|多不記在位之年
다부덕|多不德
다부동자|多不同者
다부령남만교위|多不領南蠻校尉
다부법|多不法
다부봉법|多不奉法
다부수|多不受
다부숙|多不肅
다부식례|多不識禮
다부식예|多不識禮
다부양자|多不養子
다부영남만교위|多不領南蠻校尉
다부이실|多不以實
다부이실자점|多不以實自占
다부이자|多不以次
다부이차|多不以次
다부자안|多不自安
다부재비흥지선|多賦在比興之先
다부지|多附之
다부지귀이유무용자|多不知貴而惟無用者
다부지례|多不識禮
다부지예|多不識禮
다부지형제지애|多不知兄弟之愛
