차|此
차개거사상례|此皆據士喪禮
차개거사상례수미삼월자야|此皆據士喪禮首尾三月者也
차개거사상예|此皆據士喪禮
차개거사상예수미삼월자야|此皆據士喪禮首尾三月者也
차개경부형급군일인|此皆敬父兄及君一人
차개경용사연|此皆敬用使然
차개경중지권형야|此葢輕重之權衡也
차개계수지류야|此皆計數之類也
차개계수지유야|此皆計數之類也
차개계촉지류야|此皆計數之類也
차개계촉지유야|此皆計數之類也
차개고석지제도야|此皆古昔之制度也
차개고소부용|此皆孤所不用
차개고소불용|此皆孤所不用
차개고운|此皆古韻
차개고인지소행자|此皆古人之所行者
차개고지량검야|此皆古之良劒也
차개고지량마야|此皆古之良馬也
차개고지양검야|此皆古之良劒也
차개고지양마야|此皆古之良馬也
차개곡무시야|此皆哭無時也
차개공립이우수재상야|此蓋拱立而右手在上也
차개공입이우수재상야|此蓋拱立而右手在上也
차개과심용|且改過甚勇
차개과지문야|此改過之門也
차개관중소급재|此豈管仲所及哉
차개구진구퇴|此皆俱進俱退
차개국립이우수재상야|此蓋拱立而右手在上也
차개국입이우수재상야|此蓋拱立而右手在上也
차개국지현자야|此皆國之賢者也
차개군|此皆君
차개귀귀지의|此皆貴貴之義
차개극언숙속지다이|此蓋極言菽粟之多耳
차개근사폭|此皆近事暴
차개근사폭저자|此皆近事暴著者
차개근사폭착자|此皆近事暴著者
차개근어인정|此豈近於人情
차개근오인정|此豈近於人情
차개기물익인|此皆器物益人
차개기전일적만|此皆騎戰一敵萬
차개논묵자박장|此蓋論墨子薄葬
차개논전쟁성쇠지리|此皆論戰爭盛衰之理
차개논전쟁성쇠지이|此皆論戰爭盛衰之理
차개논허일이정지공야|此皆論虛壹而靜之功也
차개능복유미가재|此豈能復有美稼哉
차개능이기군지계|此皆能移其君之計
차개대사지후야|此皆大射之侯也
차개대야지후야|此皆大射之侯也
차개대장부지소위|此豈大丈夫之所爲
차개대타인이성|且皆對他人異姓
차개도금은지별명급기미자야|此皆道金銀之別名及其美者也
차개도김은지별명급기미자야|此皆道金銀之別名及其美者也
차개두정병민자야|此皆蠧政病民者也
차개두정병저자야|此皆蠧政病民者也
차개두정병지자야|此皆蠧政病民者也
차개량실|此皆良實
차개론묵자박장|此蓋論墨子薄葬
차개론전쟁성쇠지리|此皆論戰爭盛衰之理
차개론전쟁성쇠지이|此皆論戰爭盛衰之理
차개론허일이정지공야|此皆論虛壹而靜之功也
차개륙얼배원망고선군인야|此皆陸贄輩怨望鼓扇軍人也
차개륙지배원망고선군인야|此皆陸贄輩怨望鼓扇軍人也
차개리소필지|此皆理所必至
차개리심|且皆離心
차개리지정야|此皆理之正也
차개립비기인소치|此皆立非其人所致
차개립위성왕|此皆立爲聖王
차개망오지물|此皆亡吳之物
차개명무차등|此皆名無差等
차개명부위이단소폐야|此皆明不爲異端所蔽也
차개명부폐어일단|此皆明不蔽於一端
차개명부폐오일단|此皆明不蔽於一端
차개명불위이단소폐야|此皆明不爲異端所蔽也
차개명불폐어일단|此皆明不蔽於一端
차개명불폐오일단|此皆明不蔽於一端
차개명제명지대의|此皆明制名之大意
차개명허일이정|此皆明虛壹而靜
차개모홀시유군|此皆謨忽視幼君
차개목|此皆穆
차개목험위설야|此皆目驗爲說也
차개목험위세야|此皆目驗爲說也
차개목험위열야|此皆目驗爲說也
차개목험위탈야|此皆目驗爲說也
차개몽산고전양|此蓋蒙山跨晉陽
차개몽산고진양|此蓋蒙山跨晉陽
차개몽산과전양|此蓋蒙山跨晉陽
차개몽산과진양|此蓋蒙山跨晉陽
차개무소경견|此皆無所經見
차개무소경현|此皆無所經見
차개무제덕종|此豈武帝德宗
차개문제자지사야|此蓋門弟子之詞也
차개문호지복사|此豈門戶之福邪
차개미견작부계지본이|此皆未見作不計之本耳
차개미견작부계지분이|此皆未見作不計之本耳
차개미견작불계지본이|此皆未見作不計之本耳
차개미견작불계지분이|此皆未見作不計之本耳
차개미현작부계지본이|此皆未見作不計之本耳
차개미현작부계지분이|此皆未見作不計之本耳
차개미현작불계지본이|此皆未見作不計之本耳
차개미현작불계지분이|此皆未見作不計之本耳
차개백성매아첩부전소위|此皆百姓賣兒貼婦錢所爲
차개백승|車皆百乘
차개범차자위|此皆范且自謂
차개보정대신소당위야|此豈輔政大臣所當爲耶
차개봉양사친야|此皆奉養事親也
차개부경지서|此蓋不經之書
차개부명기법금이지기국|此皆不明其法禁以治其國
차개부명기법금이치기국|此皆不明其法禁以治其國
차개부모무심식원려|此蓋父母無深識遠慮
차개부모무심식원여|此蓋父母無深識遠慮
차개부모무심지원려|此蓋父母無深識遠慮
차개부모무심지원여|此蓋父母無深識遠慮
차개부모무심치원려|此蓋父母無深識遠慮
차개부모무심치원여|此蓋父母無深識遠慮
차개불경지서|此蓋不經之書
차개불명기법금이지기국|此皆不明其法禁以治其國
차개불명기법금이치기국|此皆不明其法禁以治其國
차개비동적자구지사호|此豈非董賊藉口之詞乎
차개비만치태자지환야|此皆非晩置太子之患也
차개비백숙|此皆比白玉
차개비백옥|此皆比白玉
차개비부구지죄야|此皆備不具之罪也
차개비불구지죄야|此皆備不具之罪也
차개비삼천지|此豈非參天地
차개비인력소급|此皆非人力所及
차개비인역소급|此皆非人力所及
차개사자구|此皆四字句
차개사직지복사|此豈社稷之福邪
차개산정률주이치관|此蓋刪定律注而置官
차개산정율주이치관|此蓋刪定律注而置官
차개산지성야재|此豈山之性也哉
차개삼공지관|此皆三公之官
차개삼수소회지지|此蓋三水所會之地
차개상세지소부급|此皆上世之所不及
차개상세지소불급|此皆上世之所不及
차개생어부족|此皆生於不足
차개생어부주|此皆生於不足
차개생어불족|此皆生於不足
차개생어불주|此皆生於不足
차개생오부족|此皆生於不足
차개생오부주|此皆生於不足
차개생오불족|此皆生於不足
차개생오불주|此皆生於不足
차개서법지심지야|此皆書法之深旨也
차개설제사엄경지사야|此皆說祭祀嚴敬之事也
차개세유소미제|此皆勢有所未制
차개세제사엄경지사야|此皆說祭祀嚴敬之事也
차개소고야재|此豈小故也哉
차개소이신산야|此皆所以愼産也
차개속인소개|此皆俗人所改
차개수십년지내|此皆數十年之內
차개수십연지내|此皆數十年之內
차개수편이언|此皆隨便而言
차개시기가|此皆是其家
차개시기국|此皆是其國
차개시기의이비인지의|此皆是其義而非人之義
차개시천자지행효야|此蓋是天子之行孝也
차개신역이피난|此皆愼易以避難
차개신이이피난|此皆愼易以避難
차개신지공용야|此皆神之功用也
차개심견성|且開心見誠
차개심부가자야|此皆甚不可者也
차개심불가자야|此皆甚不可者也
차개심현성|且開心見誠
차개십배기국지중|此皆十倍其國之衆
차개앙앙부복|此皆怏怏不服
차개앙앙불복|此皆怏怏不服
차개야|車蓋也
차개양득현인|此皆養得賢人
차개양실|此皆良實
차개양주소본|此蓋楊注所本
차개양주소분|此蓋楊注所本
차개어공군지시유차명야|此皆於孔君之時有此名也
차개언|此改言
차개언고지인군야|此蓋言古之人君也
차개언구농지형상|此皆言丘壠之形狀
차개언구농지형장|此皆言丘壠之形狀
차개언구롱지형상|此皆言丘壠之形狀
차개언구롱지형장|此皆言丘壠之形狀
차개언당시결수자십군야|此蓋言當時缺守者十郡也
차개언리평풍부|此皆言理平豐富
차개언부수정위천지화|此皆言不修政違天之禍
차개언불수정위천지화|此皆言不修政違天之禍
차개언선유성유소편|此皆言先儒性有所偏
차개언설폐유부견청이|此蓋言舌弊猶不見聽耳
차개언설폐유부현청이|此蓋言舌弊猶不見聽耳
차개언설폐유불견청이|此蓋言舌弊猶不見聽耳
차개언설폐유불현청이|此蓋言舌弊猶不見聽耳
차개언수미능비행왕도|此皆言雖未能備行王道
차개언이평풍부|此皆言理平豐富
차개언집기본이말수야|此皆言執其本而末隨也
차개언집기분이말수야|此皆言執其本而末隨也
차개언차지재야|此皆言車之材也
차개여신의|此蓋與信義
차개역위지사|此蓋易緯之辭
차개연복명동군|此蓋燕復名東郡
차개연의|此皆然矣
차개연책전읍지언|此蓋衍責田邑之言
차개열제사엄경지사야|此皆說祭祀嚴敬之事也
차개오공군지시유차명야|此皆於孔君之時有此名也
차개오년격연소득|此蓋五年擊燕所得
차개오성종횡지응야|此皆五星縱横之應也
차개오연격연소득|此蓋五年擊燕所得
차개오이|此蓋誤耳
차개왕공존현지도재|此豈王公尊賢之道哉
차개왕공준현지도재|此豈王公尊賢之道哉
차개요지|此皆要地
차개용소현|此皆用所賢
차개용시위지|此皆用詩爲之
차개위고유상형야|此皆謂古有象刑也
차개위극간위쟁야|此蓋謂極諫爲爭也
차개위부효|此皆爲不孝
차개위불효|此皆爲不孝
차개위사야생야|此蓋謂死也生也
차개위성인초시|此皆謂聖人初時
차개위수광박이무사법야|此皆謂雖廣博而無師法也
차개위악자야|此豈爲惡者耶
차개위언의|此皆謂言矣
차개위유좌지기|此蓋爲宥坐之器
차개위타일고작중녹지계|此蓋爲他日高爵重祿之計
차개위타일고작중록지계|此蓋爲他日高爵重祿之計
차개유상무은덕|此皆由上無恩德
차개유장지첨행|此豈唯璋之忝幸
차개육얼배원망고선군인야|此皆陸贄輩怨望鼓扇軍人也
차개육지배원망고선군인야|此皆陸贄輩怨望鼓扇軍人也
차개음양병언|此皆陰陽竝言
차개의재성주천자|此蓋意在成周遷者
차개의편이언|此皆義便而言
차개이공명대언|此皆以功名對言
차개이당시수관부분류품|此蓋以當時授官不分流品
차개이당시수관부분유품|此蓋以當時授官不分流品
차개이당시수관불분류품|此蓋以當時授官不分流品
차개이당시수관불분유품|此蓋以當時授官不分流品
차개이상위무왕소작|此皆以象爲武王所作
차개이소필지|此皆理所必至
차개이심|且皆離心
차개이언어쟁승|此皆以言語爭勝
차개이위지사|此蓋易緯之辭
차개이유포도뇌재지사|此皆以喩抱道懷才之士
차개이유포도뢰재지사|此皆以喩抱道懷才之士
차개이전수유진|此蓋以戰雖有陳
차개이종삭잔인|此皆以縱欲殘人
차개이종속잔인|此皆以縱欲殘人
차개이종숙잔인|此皆以縱欲殘人
차개이종욕잔인|此皆以縱欲殘人
차개이종유잔인|此皆以縱欲殘人
차개이지정야|此皆理之正也
차개이진실상여|此皆以眞實相與
차개인기지유상수|此蓋因其地有洋水
차개인기지유양수|此蓋因其地有洋水
차개인능법즉천지이위효행자|此皆人能法則天地以爲孝行者
차개인능법칙천지이위효행자|此皆人能法則天地以爲孝行者
차개인력야재|此豈人力也哉
차개인사필이기술|此蓋因史筆以紀述
차개인소의혹지시야|此皆人所疑惑之時也
차개인신인자지사|此皆人臣人子之事
차개인역야재|此豈人力也哉
차개일시|此蓋逸詩
차개일엽지행야|此皆一葉之行也
차개일인작시|此豈一人作詩
차개임부책성|此皆任不責成
차개임불책성|此皆任不責成
차개입비기인소치|此皆立非其人所致
차개입위성왕|此皆立爲聖王
차개잉설사승업전오야|此蓋仍薛史承業傳誤也
차개재인형체|此皆在人形體
차개쟁지어소자야|此皆爭之於小者也
차개쟁지오소자야|此皆爭之於小者也
차개전사지와|此蓋轉寫之譌
차개절산실당이|此蓋節刪失當耳
차개절속리군|此皆絶俗離群
차개절속이군|此皆絶俗離群
차개제후관이유지|此蓋諸侯官而有之
차개조견낙진입청주|此蓋操遣樂進入靑州
차개조견락진입청주|此蓋操遣樂進入靑州
차개조견악진입청주|此蓋操遣樂進入靑州
차개조견요진입청주|此蓋操遣樂進入靑州
차개조술명가자야|此皆祖述名家者也
차개조제자야|此皆助祭者也
차개좌우근신|此皆左右近臣
차개주심지논|此皆誅心之論
차개주심지론|此皆誅心之論
차개주지제야|此皆周之制也
차개즉류호자강외촉면구지노|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외촉면구지로|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외촉미구지노|此蓋即劉胡自江外趣沔口之路
