,시군명,사업장명,영업상태명,WGS84위도,WGS84경도
110,고양시,Wiz-Pet 동물병원,정상,37.6431641,126.789654
111,고양시,동물진료법인 쥬박스동물메디컬센터,정상,37.6694732913,126.7613834257
112,고양시,센트럴동물병원,정상,37.6380537487,126.8328459978
113,고양시,24시 라인동물의료센터,정상,37.6524252132,126.8969766222
114,고양시,행신동물의료센터,정상,37.6235052997,126.834000425
115,고양시,메리알동물병원,정상,37.613426731,126.833705087
116,고양시,지축오투동물의료센터,정상,37.64878743,126.9174219266
117,고양시,리즈펫동물병원,정상,37.6495732412,126.8962401729
118,고양시,대심동물병원,정상,37.6871028144,126.8666972136
119,고양시,더힐링동물병원,정상,37.6601067159,126.908082011
120,고양시,하이반려동물행동클리닉,정상,37.6504664009,126.8756238994
121,고양시,벳케어 동물병원,정상,37.6870729,126.7191928
122,고양시,반딧불 동물병원,정상,37.6703244,126.759687
123,고양시,김 S 동물병원,정상,37.666658318,126.7735945149
124,고양시,예 동물병원,정상,37.6302983,126.8694207
125,고양시,24일산우리동물병원,정상,37.6708974586,126.7585231859
