시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
용인시,보정동,1759,207.0,1552.0,0.0,939,556,264,76.0,1392.0,1.26,5.0,2021-01-01
용인시,상갈동,465,93.0,372.0,0.0,213,172,80,41.0,371.0,1.23,1.0,2021-01-01
용인시,상하동,1285,282.0,1003.0,0.0,594,388,303,66.0,982.0,1.31,0.0,2021-01-01
용인시,상현동,4031,697.0,3332.0,2.0,2054,1211,766,82.0,3259.0,1.24,9.0,2021-01-01
용인시,서천동,727,91.0,636.0,0.0,383,232,112,53.0,565.0,1.29,2.0,2021-01-01
용인시,성복동,2826,381.0,2444.0,1.0,1675,761,390,76.0,2026.0,1.39,8.0,2021-01-01
용인시,신갈동,1583,312.0,1269.0,2.0,731,503,349,67.0,1268.0,1.25,4.0,2021-01-01
용인시,신봉동,2053,301.0,1749.0,3.0,1177,581,295,71.0,1592.0,1.29,5.0,2021-01-01
용인시,양지면,1542,329.0,1208.0,5.0,932,418,192,70.0,848.0,1.82,1.0,2021-01-01
용인시,언남동,825,118.0,706.0,1.0,438,280,107,58.0,672.0,1.23,2.0,2021-01-01
용인시,역삼동,1725,153.0,1572.0,0.0,880,665,180,110.0,1332.0,1.3,3.0,2021-01-01
용인시,영덕동,1800,265.0,1533.0,2.0,736,788,276,72.0,1402.0,1.28,3.0,2021-01-01
용인시,원삼면,673,54.0,618.0,1.0,425,197,51,65.0,398.0,1.69,1.0,2021-01-01
용인시,유림동,1858,147.0,1710.0,1.0,870,806,182,104.0,1397.0,1.33,0.0,2021-01-01
용인시,이동읍,1112,153.0,959.0,0.0,632,321,159,112.0,802.0,1.39,0.0,2021-01-01
용인시,죽전동,3533,438.0,3094.0,1.0,1960,1111,462,79.0,2893.0,1.22,8.0,2021-01-01
용인시,중동,1995,275.0,1716.0,4.0,1082,545,368,74.0,1584.0,1.26,6.0,2021-01-01
용인시,중앙동,1330,115.0,1210.0,5.0,714,505,111,102.0,1002.0,1.33,3.0,2021-01-01
용인시,지곡동,254,42.0,212.0,0.0,102,114,38,40.0,158.0,1.6,0.0,2021-01-01
용인시,청덕동,721,120.0,601.0,0.0,326,234,161,56.0,571.0,1.26,1.0,2021-01-01
용인시,포곡읍,1751,89.0,1660.0,2.0,885,741,125,73.0,1291.0,1.36,3.0,2021-01-01
용인시,풍덕천동,3826,577.0,3247.0,2.0,1976,1098,752,80.0,3131.0,1.22,6.0,2021-01-01
용인시,하갈동,237,48.0,189.0,0.0,98,89,50,40.0,166.0,1.43,0.0,2021-01-01
의왕시,고천동,171,41.0,130.0,,84,48,39,30.0,141.0,1.21,2.0,2021-06-18
의왕시,내손동,1910,289.0,1621.0,,987,533,390,69.0,1473.0,1.3,2.0,2021-06-18
의왕시,삼동,927,96.0,831.0,,584,243,101,54.0,704.0,1.32,0.0,2021-06-18
의왕시,오전동,1505,305.0,1200.0,,756,401,348,56.0,1202.0,1.25,2.0,2021-06-18
의왕시,왕곡동,367,69.0,298.0,,202,87,78,35.0,250.0,1.47,0.0,2021-06-18
의왕시,월암동,43,4.0,39.0,,16,17,10,19.0,21.0,2.05,0.0,2021-06-18
의왕시,이동,61,8.0,53.0,,35,15,11,14.0,44.0,1.39,0.0,2021-06-18
의왕시,청계동,392,45.0,347.0,,188,142,62,44.0,303.0,1.29,3.0,2021-06-18
의왕시,초평동,57,14.0,43.0,,29,12,16,15.0,33.0,1.73,0.0,2021-06-18
의왕시,포일동,910,95.0,815.0,,426,308,176,60.0,724.0,1.26,0.0,2021-06-18
의왕시,학의동,247,33.0,214.0,,126,82,39,35.0,187.0,1.32,0.0,2021-06-18
의정부시,,58997,314.0,58683.0,0.0,12679,31835,14483,209.0,,,39.0,2021-09-01
이천시,갈산동,717,56.0,661.0,0.0,393,250,74,54.0,530.0,1.35,0.0,2022-07-29
이천시,고담동,97,10.0,87.0,0.0,43,44,10,30.0,72.0,1.35,0.0,2022-07-29
이천시,관고동,408,30.0,377.0,1.0,205,166,37,41.0,315.0,1.3,1.0,2022-07-29
이천시,단월동,47,8.0,39.0,0.0,27,13,7,17.0,32.0,1.47,0.0,2022-07-29
이천시,대월면,798,80.0,718.0,0.0,402,304,92,54.0,555.0,1.44,0.0,2022-07-29
이천시,대포동,87,8.0,79.0,0.0,56,20,11,18.0,39.0,2.23,0.0,2022-07-29
이천시,마장면,864,92.0,771.0,1.0,455,307,102,61.0,616.0,1.4,1.0,2022-07-29
이천시,모가면,283,21.0,262.0,0.0,187,71,25,41.0,135.0,2.1,0.0,2022-07-29
이천시,백사면,869,90.0,779.0,0.0,428,343,98,60.0,573.0,1.51,0.0,2022-07-29
이천시,부발읍,2092,161.0,1931.0,0.0,1115,793,184,70.0,1529.0,1.37,1.0,2022-07-29
이천시,사음동,291,19.0,272.0,0.0,156,111,24,37.0,206.0,1.41,0.0,2022-07-29
이천시,설성면,316,134.0,182.0,0.0,119,57,140,53.0,128.0,2.47,1.0,2022-07-29
이천시,송정동,779,51.0,728.0,0.0,419,294,66,63.0,590.0,1.32,0.0,2022-07-29
이천시,신둔면,1127,108.0,1019.0,0.0,613,394,120,74.0,700.0,1.61,0.0,2022-07-29
이천시,안흥동,406,34.0,372.0,0.0,224,136,46,45.0,305.0,1.33,0.0,2022-07-29
이천시,율면,123,13.0,110.0,0.0,76,35,12,26.0,60.0,2.05,0.0,2022-07-29
이천시,율현동,22,2.0,20.0,0.0,14,7,1,9.0,16.0,1.38,0.0,2022-07-29
